Site_name,ID (temp),Pot_name,Typology,Original_text,,Start_date,End_date,Page,Reference_File_Name
Kerkrade-Holzkuil,1,Terra nigra flask-shaped pot,Holwerda 25,Holwerda 25,,-30,70,1,Table_5_Test_Workflow
Kerkrade-Holzkuil,2,Terra nigra round-oval pot,Holwerda 27,Holwerda 27,,-25,70,1,Table_5_Test_Workflow
Kerkrade-Holzkuil,3,rough-walled Nijmegen pottery,Holwerda 66,Holwerda 66,,-20,120,1,Table_5_Test_Workflow
Kerkrade-Holzkuil,4,Terra nigra plate,Holwerda 81,Holwerda 81,,-30,70,1,Table_5_Test_Workflow
Kerkrade-Holzkuil,5,Terra nigra pot,,pot,,1,300,1,Table_5_Test_Workflow
Kerkrade-Holzkuil,6,Terra nigra,,onbekend,,1,300,1,Table_5_Test_Workflow
Kerkrade-Holzkuil,7,Terra nigra,,indet,,1,300,1,Table_5_Test_Workflow
Kerkrade-Holzkuil,8,Handmade cork urn,Holwerda 94,Holwerda 94,,-100,80,1,Table_5_Test_Workflow
Kerkrade-Holzkuil,9,Indeterminate,,indet,,1,300,1,Table_5_Test_Workflow
Kerkrade-Holzkuil,10,Beaker,,beker,,1,300,1,Table_5_Test_Workflow
Kerkrade-Holzkuil,11,Color-coated beaker,Niederbieber 33,Niederbieber 33,,150,300,1,Table_5_Test_Workflow
