report_id,site_name,page,pottery,typology,term_found,term_found_normalized_en,quantity,start_date,end_date,date_method,context_label,pot_name_certainty_level,pot_name_llm_reasoning,pot_presence_certainty_level,pot_presence_llm_reasoning,dates_certainty_level,date_llm_reasoning,overall_certainty_level,original_text
table_1,Voerendaal-Ten Hove,1,amphora,Mayen R19,amphora,amphora,1,365,435,claude+typology,present,9,Form and type explicitly stated in the table.,10,Listed as a recovered find in the Late Roman coarse ware overview table.,9,dated from typology code (only as certain as the identification),9,amphora Mayen R19 1 1 1
table_1,Voerendaal-Ten Hove,1,Late Roman bowl,Alzey 28,bowl,Late Roman bowl,15,300,450,claude+typology,present,9,Form and typology code explicitly stated in the table.,10,"Listed as a recovered find in the Late Roman coarse ware overview table, Coarse oxidized, Eifel region (Mayen).",9,dated from typology code (only as certain as the identification),9,bowl Alzey 28 29 15 15
table_1,Voerendaal-Ten Hove,1,Late Roman storage vessel,Alzey 29,bowl,Late Roman storage vessel,5,300,450,claude+typology,present,9,Form and typology code explicitly stated in the table.,10,"Listed as a recovered find in the Late Roman coarse ware overview table, Coarse oxidized, Eifel region (Mayen).",9,dated from typology code (only as certain as the identification),9,bowl Alzey 29 5 5 5
table_1,Voerendaal-Ten Hove,1,Coarse ware bowl,Niederbieber 104,bowl,Coarse ware bowl,1,100,300,claude+typology,present,9,Form and typology code explicitly stated in the table.,10,"Listed as a recovered find in the Late Roman coarse ware overview table, Coarse oxidized, Eifel region (Mayen).",9,dated from typology code (only as certain as the identification),9,bowl NB 104 1 1 1
table_1,Voerendaal-Ten Hove,1,Trier bowl,"Trier III, 40a",bowl,Trier bowl,1,280,355,claude+typology,present,9,Form and typology code explicitly stated in the table.,10,"Listed as a recovered find in the Late Roman coarse ware overview table, Coarse oxidized, Eifel region (Mayen).",9,dated from typology code (only as certain as the identification),9,"bowl Trier III, 40a 1 1 1"
table_1,Voerendaal-Ten Hove,1,Bowl/Jar,,bowl/jar,Bowl/Jar,1,270,450,claude_text,present,7,Form stated in the table but no specific typology given.,10,"Listed as a recovered find in the Late Roman coarse ware overview table, Coarse oxidized, Eifel region (Mayen).",8,date read from the passage,8,bowl/jar - 1 1 1
table_1,Voerendaal-Ten Hove,1,Dolium,,dolium,Dolium,1,270,450,claude_text,present,9,Form explicitly stated in the table.,10,"Listed as a recovered find in the Late Roman coarse ware overview table, Coarse oxidized, Eifel region (Mayen).",8,date read from the passage,9,dolium proled shoulder 2 1 1
table_1,Voerendaal-Ten Hove,1,Jar,,jar,Jar,6,270,450,claude_text,present,9,"Form explicitly stated in the table, no typology given.",10,"Listed as a recovered find in the Late Roman coarse ware overview table, Coarse oxidized, Eifel region (Mayen).",8,date read from the passage,9,jar - 8 6 -
table_1,Voerendaal-Ten Hove,1,Late Roman cooking pot,Alzey 27,jar,Late Roman cooking pot,13,300,450,claude+typology,present,9,Form and typology code explicitly stated in the table.,10,"Listed as a recovered find in the Late Roman coarse ware overview table, Coarse oxidized, Eifel region (Mayen).",9,dated from typology code (only as certain as the identification),9,jar Alzey 27 41 13 13
table_1,Voerendaal-Ten Hove,1,Jug,,jug,Jug,4,270,450,claude_text,present,9,"Form explicitly stated in the table, no typology given.",10,"Listed as a recovered find in the Late Roman coarse ware overview table, Coarse oxidized, Eifel region (Mayen).",8,date read from the passage,9,jug - 4 4 -
