report_id,site_name,page,pottery,typology,term_found,term_found_normalized_en,quantity,start_date,end_date,date_method,context_label,pot_name_certainty_level,pot_name_llm_reasoning,pot_presence_certainty_level,pot_presence_llm_reasoning,dates_certainty_level,date_llm_reasoning,overall_certainty_level,original_text,std_vocabulary,std_ware_code,std_ware_label,std_form_code,std_form_label,std_combined_code,std_combined_label
table_3,Nijmegen,1,Arretina,,Arretina,Arretina,,-19,-16,claude_text,present,0,"general mention that pottery occurs at the site, not a discrete object",9,Listed in the pottery overview table from the second fortress 19-16 BC.,8,date read from the passage,6,Arretina 2.0 2.0,ABR,TS,terra sigillata,,,,
table_3,Nijmegen,1,Fine ware,,Fine ware,Fine ware,,-19,-16,claude_text,present,0,"general mention that pottery occurs at the site, not a discrete object",9,Listed in the pottery overview table from the second fortress 19-16 BC.,8,date read from the passage,6,Fine ware 16.6 16.6,,,,,,,
table_3,Nijmegen,1,Gallo-Belgic ware,,Gallo-Belgic ware,Gallo-Belgic ware,,-19,-16,claude_text,present,0,"general mention that pottery occurs at the site, not a discrete object",9,Listed in the pottery overview table from the second fortress 19-16 BC.,8,date read from the passage,6,Gallo-Belgic ware 5.6 5.6,ABR,BELG,Belgisch/Gallo-Belgisch aardewerk,,,,
table_3,Nijmegen,1,Pompeian red ware,,Pompeian red ware,Pompeian red ware,,-19,-16,claude_text,present,0,"general mention that pottery occurs at the site, not a discrete object",9,Listed in the pottery overview table from the second fortress 19-16 BC.,8,date read from the passage,6,Pompeian red ware 0.1,,,,,,,
table_3,Nijmegen,1,Smooth ware,,Smooth ware,Smooth ware,,-19,-16,claude_text,present,0,"general mention that pottery occurs at the site, not a discrete object",9,Listed in the pottery overview table from the second fortress 19-16 BC.,8,date read from the passage,6,Smooth ware 20.2 * 20.2,ABR,GLD,gladwandig Romeins aardewerk,,,,
table_3,Nijmegen,1,Amphora,,Amphorae,Amphora,,-19,-16,claude_text,present,0,"general mention that pottery occurs at the site, not a discrete object",9,Listed in the pottery overview table from the second fortress 19-16 BC.,8,date read from the passage,6,Amphorae 11.1 11.1,ABR,AMFOOR,amfoor aardewerk,AMFOOR.VERZ,amfoor,AMFOOR.AMFOOR,amfoor aardewerk:amfoor
table_3,Nijmegen,1,Mortarium,,Mortaria,Mortarium,,-19,-16,claude_text,present,0,"general mention that pottery occurs at the site, not a discrete object",9,Listed in the pottery overview table from the second fortress 19-16 BC.,8,date read from the passage,6,Mortaria 0.7 0.7,ABR,WRIJFSCHAAL,wrijfschaal aardewerk,TSWRIJF,wrijfschaal,WRIJFSCH,"wrijfschaal, dikwandig aardew."
table_3,Nijmegen,1,Coarse ware,,Coarse ware,Coarse ware,,-19,-16,claude_text,present,0,"general mention that pottery occurs at the site, not a discrete object",9,Listed in the pottery overview table from the second fortress 19-16 BC.,8,date read from the passage,6,Coarse ware 19.0 19.0,ABR,RUW,ruwwandig Romeins aardewerk,,,,
table_3,Nijmegen,1,Cork ware,,Cork ware,Cork ware,,-19,-16,claude_text,present,0,"general mention that pottery occurs at the site, not a discrete object",9,Listed in the pottery overview table from the second fortress 19-16 BC.,8,date read from the passage,6,Cork ware 2.1 2.1,ABR,KURKURN,kurkurnaardewerk,,,,
table_3,Nijmegen,1,Handmade pottery,,Handmade pottery,Handmade pottery,,-19,-16,claude_text,present,0,"general mention that pottery occurs at the site, not a discrete object",9,Listed in the pottery overview table from the second fortress 19-16 BC.,8,date read from the passage,6,Handmade pottery 21.8 21.8,ABR,AWH,"Aardewerk, handgevormd",,,,
table_3,Nijmegen,1,Dolia,,Dolia,Dolia,,-19,-16,rules+claude_confirmed,present,6,rule candidate; name from ware match,10,rule candidate confirmed present by claude (5c),6,"date from the rule detector, presence confirmed",7,Dolia,ABR,DOLIUM,dolium aardewerk,,,,
