report_id,site_name,page,pottery,typology,term_found,term_found_normalized_en,quantity,start_date,end_date,date_method,context_label,pot_name_certainty_level,pot_name_llm_reasoning,pot_presence_certainty_level,pot_presence_llm_reasoning,dates_certainty_level,date_llm_reasoning,overall_certainty_level,original_text
table_5,Kerkrade-Holzkuil,1,Terra nigra flask-shaped pot,Holwerda 25,holwerda 25?,Terra nigra flask-shaped pot,1,-30,70,claude+typology,present,4,Type given with a question mark indicating uncertainty.,9,Listed in the finds table for Kerkrade-Holzkuil.,4,dated from typology code (only as certain as the identification),6,Belgische waar terra nigra holwerda 25? 1 1 117
table_5,Kerkrade-Holzkuil,1,Terra nigra round-oval pot,Holwerda 27,Holwerda 27,Terra nigra round-oval pot,1,-25,70,claude+typology,present,9,Type explicitly stated in the finds table.,9,Listed in the finds table for Kerkrade-Holzkuil.,9,dated from typology code (only as certain as the identification),9,Holwerda 27 1 3
table_5,Kerkrade-Holzkuil,1,rough-walled Nijmegen pottery,Holwerda 66,Holwerda 66,rough-walled Nijmegen pottery,,-20,120,claude+typology,present,9,Type explicitly stated in the finds table.,9,Listed in the finds table for Kerkrade-Holzkuil.,9,dated from typology code (only as certain as the identification),9,Holwerda 66 2
table_5,Kerkrade-Holzkuil,1,Terra nigra plate,Holwerda 81,Holwerda 81,Terra nigra plate,2,-30,70,claude+typology,present,9,Type explicitly stated in the finds table.,9,Listed in the finds table for Kerkrade-Holzkuil.,9,dated from typology code (only as certain as the identification),9,Holwerda 81 2 3
table_5,Kerkrade-Holzkuil,1,Terra nigra pot,,pot,Terra nigra pot,1,,,claude,present,7,Listed as 'pot' under terra nigra in the finds table.,9,Listed in the finds table for Kerkrade-Holzkuil.,0,no date stated,5,pot 1 1
table_5,Kerkrade-Holzkuil,1,Terra nigra,,onbekend,Terra nigra,1,,,claude,present,7,Listed as unknown type under terra nigra in the finds table.,9,Listed in the finds table for Kerkrade-Holzkuil.,0,no date stated,5,onbekend 1 1
table_5,Kerkrade-Holzkuil,1,Terra nigra,,indet,Terra nigra,,,,claude,present,7,Listed as indeterminate under terra nigra in the finds table.,9,Listed in the finds table for Kerkrade-Holzkuil.,0,no date stated,5,indet 106
table_5,Kerkrade-Holzkuil,1,Handmade cork urn,Holwerda 94,kurkurn,Handmade cork urn,2,-100,80,claude+typology,present,9,Type explicitly stated in the finds table and described in the text.,9,Listed in the finds table and described as a fine example found at Holzkuil.,9,dated from typology code (only as certain as the identification),9,kurkurn Holwerda 94 2 3 4
table_5,Kerkrade-Holzkuil,1,Cork urn,,kurkurn indet,Cork urn,,,,claude,present,7,Listed as indeterminate kurkurn in the finds table.,9,Listed in the finds table for Kerkrade-Holzkuil.,0,no date stated,5,indet 1
table_5,Kerkrade-Holzkuil,1,Beaker,,beker,Beaker,,,,claude,present,5,"Described as possibly a Belgic beaker with white colour, identification tentative.",9,Listed in the finds table for Kerkrade-Holzkuil with 8 sherds.,0,no date stated,5,wit beker 8 8
table_5,Kerkrade-Holzkuil,1,Color-coated beaker,Niederbieber 33,deukbeker van het type Niederbieber 33,Color-coated beaker,1,150,300,claude+typology,present,9,Type explicitly stated in the text with typology code.,9,Explicitly found in the cellar of the main building at Holzkuil.,9,dated from typology code (only as certain as the identification),9,fragmenten aangetroffen van deze late terra nigra en wel een deukbeker van het type Niederbieber 33
