report_id,site_name,page,pottery,typology,term_found,term_found_normalized_en,quantity,start_date,end_date,date_method,context_label,pot_name_certainty_level,pot_name_llm_reasoning,pot_presence_certainty_level,pot_presence_llm_reasoning,dates_certainty_level,date_llm_reasoning,overall_certainty_level,original_text
13319,Kerkrade-Holzkuil,19,Pottery,,aardewerk,Pottery,,,,claude,present,0,"general mention that pottery occurs at the site, not a discrete object",7,"Found during survey borings at vindplaats 1, but no specific vessel described.",0,no date stated,2,"Hier leverden in totaal 17 boringen archeologische indicatoren op zoals aardewerk, dakpanfragmenten, verbrande leem en/of houtskool."
13319,Kerkrade-Holzkuil,19,Smooth-walled ware,,gladwandige scherf,Smooth-walled ware,1,-12,450,period_term,present,8,Explicitly named as gladwandige scherf in the text.,9,Explicitly found in a boring at vindplaats 2.,8,period word in the find's own quote,8,twee boringen met Romeins materiaal (een gladwandige scherf en een fragment van een dakpan)
13319,Kerkrade-Holzkuil,19,Pottery,,Romeinse scherf,Pottery,,-12,450,claude_text,present,0,Only described as a Roman sherd with no further qualification.,8,Found in a boring at vindplaats 3.,8,date read from the passage,5,Naast een boring met een Romeinse scherf en een boring met een Romeins dakpanfragment werden ook nog enkele oppervlaktevondsten verzameld.
13319,Kerkrade-Holzkuil,19,Pottery,,Romeinse scherven,Pottery,4,-12,450,claude_text,present,0,"general mention that pottery occurs at the site, not a discrete object",9,Explicitly found as surface finds at vindplaats 3.,8,date read from the passage,6,Zes dakpanfragmenten en vier Romeinse scherven werden gevonden op een duidelijk zichtbare verhoging in het landschap.
13319,322100,33,Handmade ware,,handgevormde scherven,Handmade ware,41,-12,450,claude_text,present,0,"general mention that pottery occurs at the site, not a discrete object",9,Explicitly found at the site.,8,date read from the passage,6,tenslotte 41 uit de Romeinse tijd
13319,Kerkrade-Holzkuil,33,Terra sigillata cup,Dragendorff 24/25,Zuid-Gallische terra sigillata van de types Dragendorff 24/25,Terra sigillata cup,,15,100,claude+typology,present,9,Explicitly named with typology code in the text.,9,Listed as part of the earliest group of finds at the site.,9,dated from typology code (only as certain as the identification),9,"Tot deze eerste groep (n=207 of 2%) behoort o.a. Zuid-Gallische terra sigillata van de types Dragendorff 24/25, 18, 27 en 29"
13319,322100,33,Terra nigra round-oval pot,Holwerda 27,terra nigra van type Holwerda 27,Terra nigra round-oval pot,,-25,70,claude+typology,present,9,Explicitly named with typology code in the text.,9,Listed as part of the earliest group of finds at the site.,9,dated from typology code (only as certain as the identification),9,terra nigra van type Holwerda 27
13319,Kerkrade-Holzkuil,33,Pot,Stuart 201A,potten van het type Stuart 201A met grijze baksels,Pot,,,,claude,present,9,Explicitly named with typology code in the text.,9,Listed as part of the earliest group of finds at the site.,0,no date stated,6,potten van het type Stuart 201A met grijze baksels
13319,Kerkrade-Holzkuil,33,Painted ware beaker,,geverfde bekers in techniek A,Painted ware beaker,,,,claude,present,8,Explicitly described as painted beakers in technique A.,9,Listed as part of the earliest group of finds at the site.,0,no date stated,6,geverfde bekers in techniek A
13319,Kerkrade-Holzkuil,33,Pot,Stuart 201B,potten van het type Stuart 201B,Pot,,,,claude,present,9,Explicitly named with typology code in the text.,9,Listed as part of the second group of finds at the site.,0,no date stated,6,Tot deze groep behoren o.a. potten van het type Stuart 201B
