report_id,site_name,page,pottery,typology,term_found,term_found_normalized_en,quantity,start_date,end_date,date_method,context_label,pot_name_certainty_level,pot_name_llm_reasoning,pot_presence_certainty_level,pot_presence_llm_reasoning,dates_certainty_level,date_llm_reasoning,overall_certainty_level,original_text,std_vocabulary,std_ware_code,std_ware_label,std_form_code,std_form_label,std_combined_code,std_combined_label
12715,Heerlen,44,Terra sigillata,,terra sigillata,Terra sigillata,2,-12,450,claude_text,present,10,Name explicitly stated in the text.,10,Explicitly found during the investigation in Heerlen.,8,date read from the passage,9,Tijdens het onderzoek in Heerlen zijn twee scherven terra sigillata aangetroffen. Het betrof een bodem- en een wandfragment die te klein waren voor verdere analyse.,ABR,TS,terra sigillata,,,,
12715,322200,44,Painted ware technique A,,geverfde waar techniek A,Painted ware technique A,46,-12,450,claude_text,present,9,Explicitly described as painted ware technique A.,10,Explicitly collected during the investigation.,8,date read from the passage,9,"Tijdens onderhavig onderzoek zijn 75 scherven geverfde waar verzameld, waarvan 46 stuks in techniek A zijn uitgevoerd",ABR,GEVERFD,geverfd aardewerk,,,,
12715,322200,44,Painted ware technique B,,geverfde waar techniek B,Painted ware technique B,20,-12,450,claude_text,present,9,Explicitly described as painted ware technique B.,10,Explicitly collected during the investigation.,8,date read from the passage,9,twintig in techniek B,ABR,GEVERFD,geverfd aardewerk,,,,
12715,Heerlen,44,Painted ware with Pompeian red slip,,Pompejaans rode beschildering,Painted ware with Pompeian red slip,1,-12,450,claude_text,present,5,"Tentative identification, text says 'lijkt resten te hebben van'.",8,"A sherd was found, identification is hedged.",8,date read from the passage,7,Eén scherf lijkt resten te hebben van Pompejaans rode beschildering.,ABR,GEVERFD,geverfd aardewerk,,,,
12715,Heerlen,44,Painted ware,,geverfde waar,Painted ware,8,-12,450,claude_text,present,8,Identified as painted ware but technique undetermined.,10,"Explicitly found, technique undetermined due to missing slip.",8,date read from the passage,9,"Van acht stuks was de deklaag verdwenen, waardoor de techniek niet is achterhaald.",ABR,GEVERFD,geverfd aardewerk,,,,
12715,322200,45,Smooth-walled ware,,gladwandig aardewerk,Smooth-walled ware,341,-12,450,claude_text,present,10,Name explicitly stated in the text.,10,Explicitly found during the investigation.,8,date read from the passage,9,Er zijn tijdens het onderzoek 341 scherven gladwandig aardewerk aangetroffen,ABR,GLD,gladwandig Romeins aardewerk,,,,
12715,322200,45,Jug,,kruiken,Jug,85,-12,450,claude_text,present,10,Explicitly identified as jugs within the smooth-walled ware assemblage.,10,Explicitly assigned to jugs during analysis.,8,date read from the passage,9,waarvan 85 stuks aan kruiken konden worden toegewezen,ABR,,,MKKRUIK,kruik,,
12715,Heerlen,45,Smooth-walled pot,,gladwandige pot,Smooth-walled pot,3,-12,450,claude_text,present,10,Explicitly identified as smooth-walled pots.,10,Explicitly found during the investigation.,8,date read from the passage,9,Drie scherven zijn van een gladwandige pot.,ABR,GLD,gladwandig Romeins aardewerk,,,,
12715,322200,45,Coarse ware,,ruwwandig aardewerk,Coarse ware,63,-12,450,claude_text,present,10,Name explicitly stated in the text.,10,Explicitly collected during the investigation.,8,date read from the passage,9,In Heerlen - De Nor zijn 63 scherven ruwwandig aardewerk verzameld,ABR,RUW,ruwwandig Romeins aardewerk,,,,
12715,322200,45,Cooking pot or storage pot,,kook- of voorraadpotten,Cooking pot or storage pot,8,-12,450,claude_text,present,8,Identified as cooking or storage pots within coarse ware.,10,Explicitly found within the coarse ware assemblage.,8,date read from the passage,9,waaronder acht scherven van kook- of voorraadpotten,ABR,,,POT,pot,,
12715,Heerlen,45,Lid,,deksel,Lid,1,-12,450,claude_text,present,10,Explicitly identified as a lid sherd.,10,Explicitly found within the coarse ware assemblage.,8,date read from the passage,9,één scherf van een deksel,ABR,,,DEKSEL,deksel,,
12715,Heerlen,45,Terra nigra,,terra nigra?,Terra nigra,4,-12,450,claude_text,present,3,"Tentative identification, text says 'kan het echter wel vermoed worden' and fragments are too weathered.",9,"Four sherds were found, identification is uncertain.",8,date read from the passage,7,"Van vier scherven kan het echter wel vermoed worden, maar deze fragmenten zijn te verweerd.",ABR,TNIGRA,terra nigra,,,,
12715,322200,45,Dolium,,dolium,Dolium,1,-12,450,claude_text,present,10,Explicitly identified as a dolium rim sherd.,10,Explicitly collected during the investigation.,8,date read from the passage,9,In Heerlen - De Nor is één randscherf van een groot dolium verzameld.,ABR,DOLIUM,dolium aardewerk,DOLIUM,dolium,DOLIUM.DOLIUM,dolium aardewerk:dolium
12715,322200,45,Amphora,,amfoor,Amphora,4,-12,450,claude_text,present,10,Name explicitly stated in the text.,10,Explicitly found during the investigation.,8,date read from the passage,9,Tijdens het onderzoek in Heerlen zijn vier amfoorfragmenten aangetroffen.,ABR,AMFOOR,amfoor aardewerk,AMFOOR.VERZ,amfoor,AMFOOR.AMFOOR,amfoor aardewerk:amfoor
12715,322200,45,Medium-sized storage amphora,,standamforen,Medium-sized storage amphora,20,-12,450,claude_text,present,10,Explicitly identified as medium-sized storage amphorae.,10,Explicitly found during the investigation.,8,date read from the passage,9,Tijdens onderhavig onderzoek zijn twintig fragmenten van dergelijke standamforen aangetroffen.,ABR,AMFOOR,amfoor aardewerk,AMFOOR.VERZ,amfoor,AMFOOR.AMFOOR,amfoor aardewerk:amfoor
12715,322200,46,Mortarium,Stuart 149,wrijfschaal Stuart 149,Mortarium,1,40,260,claude+typology,present,10,Explicitly identified with typology code Stuart 149.,10,Explicitly found during the investigation.,10,dated from typology code (only as certain as the identification),10,één randfragment behorend tot het type Stuart 149,ABR,WRIJFSCHAAL,wrijfschaal aardewerk,TSWRIJF,wrijfschaal,BRDWRIJF.ST149,Belgisch rood:wrijfschaal - Stuart 149:horizontale rand
12715,Heerlen,46,Mortarium,Brunsting 37,wrijfschaal Brunsting 37,Mortarium,1,70,200,claude+typology,present,10,Explicitly identified with typology code Brunsting 37.,10,Explicitly found during the investigation.,10,dated from typology code (only as certain as the identification),10,"één behorend tot het type Brunsting 37, die dateert vanaf 150 na Chr.",ABR,WRIJFSCHAAL,wrijfschaal aardewerk,TSWRIJF,wrijfschaal,WRIJFSCH.ST148,"wrijfschaal, dikwandig aardew. - Stuart 148/Brunsting 37:verticale rand"
12715,Heerlen,46,Mortarium,,wrijfschalen,Mortarium,2,-12,450,claude_text,present,9,Identified as mortaria but without typology.,10,Explicitly found during the investigation.,8,date read from the passage,9,De overige twee konden niet nader getypeerd worden.,ABR,WRIJFSCHAAL,wrijfschaal aardewerk,TSWRIJF,wrijfschaal,WRIJFSCH,"wrijfschaal, dikwandig aardew."
12715,322200,46,Low Lands ware,,Low Lands ware,Low Lands ware,3,-12,450,claude_text,present,7,"Identified as probably Low Lands ware, slight hedging with 'vermoedelijk'.",10,Three sherds explicitly found and identified.,8,date read from the passage,8,Binnen het assemblage uit Heerlen zijn drie scherven als vermoedelijk Low Lands ware gedetermineerd.,,,,,,,
12715,322200,46,Handmade ware,,handgevormd aardewerk,Handmade ware,2,-12,450,claude_text,present,9,Explicitly identified as handmade ware.,10,Explicitly found during the investigation.,8,date read from the passage,9,Tijdens het onderzoek in Heerlen zijn slechts twee scherven handgevormd aardewerk aangetroffen die met enige zekerheid in de Romeinse tijd te dateren zijn. Beide scherven zijn verbrand.,ABR,AWH,"Aardewerk, handgevormd",,,,
12715,Heerlen,47,Coated ware beaker,Stuart 1,geverfde bekers type Stuart 1,Coated ware beaker,12,40,110,claude+typology,present,10,Explicitly identified as type Stuart 1 in technique A.,10,Explicitly found during the investigation.,10,dated from typology code (only as certain as the identification),10,"Het betreft in alle dertien gevallen type Stuart 1, waarvan twaalf stuks in techniek A en één exemplaar in techniek B. De fragmenten in techniek A dateren in de tweede helft van de 1e eeuw tot en met het begin van de 2e eeuw.",ABR,GEVERFD,geverfd aardewerk,BEKER,beker,GEVBEKER.ST1,geverfde beker - Stuart 1
12715,322200,47,Coarse ware cooking pot,Stuart 201,ruwwandige pot Stuart 201,Coarse ware cooking pot,,40,200,claude+typology,present,10,Explicitly identified with typology code Stuart 201.,10,Explicitly found during the investigation.,10,dated from typology code (only as certain as the identification),10,"zijn in het spectrum van de ruwwandige waar meerdere potvormen herkend: type Stuart 201, Stuart 210 en Niederbieber 89",ABR,RUW,ruwwandig Romeins aardewerk,POT,pot,RUWPOT.ST201,ruwwandige (kook)pot - Stuart 201
