report_id,site_name,page,pottery,typology,term_found,term_found_normalized_en,quantity,start_date,end_date,date_method,context_label,pot_name_certainty_level,pot_name_llm_reasoning,pot_presence_certainty_level,pot_presence_llm_reasoning,dates_certainty_level,date_llm_reasoning,overall_certainty_level,original_text,std_vocabulary,std_ware_code,std_ware_label,std_form_code,std_form_label,std_combined_code,std_combined_label
12736,Heerlen,3,Jug,,witgelig kruikje met 2 oortjes (amphoortje),Jug,1,,,claude,present,8,"Described as a small jug with two handles, explicitly called 'kruikje' (diminutive of kruik = jug).",10,Explicitly found in or near the Roman ditch at Heerlen.,0,no date stated,6,"Een witgelig kruikje met 2 oortjes (amphoortje) ; de hals, met niet scherp ondersneden rand, gaat eenigszins hoekig over in den buik; heele hoogte 12 c.M.. e-rondvlak 3 c.M. en buik Si c.M. in doorsnee.",ABR,,,MKKRUIK,kruik,,
12736,Heerlen,3,Terra sigillata mortarium,,bruin-roode terra sigillata wrijfschaal met rechtstaand boord,Terra sigillata mortarium,,101,200,claude_text,present,9,Explicitly named as terra sigillata mortarium (wrijfschaal).,10,Fragments explicitly found in the ditch/trench at Heerlen.,8,date read from the passage,9,"Fragmenten van een bruin-roode terra sigillata wrijfschaal met rechtstaand boord, zeer hard baksel, 't vernisje houdt goed vast, vermoedelijk 2e eeuwseh.",ABR,TS,terra sigillata,TSWRIJF,wrijfschaal,TS.WRIJFSCHAAL,terra sigillata:wrijfschaal
12736,Heerlen,3,Terra sigillata bowl,,late geelroode t. s. kom,Terra sigillata bowl,,301,350,claude_text,present,9,Explicitly named as terra sigillata bowl (t.s. kom).,10,Fragments explicitly found in the ditch/trench at Heerlen.,8,date read from the passage,9,"Fragmenten van een late geelroode t. s. kom, op den buitenwand banden van vierkantjes met streepjes-en kruisiesversiering (dambordversiering), begin 4e eeuw.",ABR,TS,terra sigillata,KOM.KOM,kom,TSKOM,terra sigillata:kom
12736,Heerlen,3,Jug,,geelwitte kruik,Jug,,51,100,claude_text,present,9,Explicitly named as a jug (kruik).,10,Neck fragment explicitly found in the ditch/trench at Heerlen.,8,date read from the passage,9,"Hals met ondersneden rand van een geelwitte kruik, vermoedelijk 2e helft der le eeuw.",ABR,,,MKKRUIK,kruik,,
12736,Heerlen,3,Beaker,,grauw geverfd bekertje,Beaker,,101,300,claude_text,present,9,Explicitly named as a beaker (bekertje).,10,Base fragment explicitly found in the ditch/trench at Heerlen.,8,date read from the passage,9,"Voetje van een grauw geverfd bekertje, 2e-3e eeuw.",ABR,GEVERFD,geverfd aardewerk,BEKER,beker,GEVBEKER,geverfd aardewerk:beker
12736,Heerlen,3,Cooking urn,,grijze kookurn,Cooking urn,,101,200,claude_text,present,9,Explicitly named as a grey cooking urn (grijze kookurn).,10,Rim fragment explicitly found in the ditch/trench at Heerlen.,8,date read from the passage,9,"Randprofiel van een grijze kookurn, 2e eeuw.",,,,,,,
12736,Heerlen,3,Cooking urn,,zelfde urn,Cooking urn,,101,200,claude_text,present,8,Referred to as the same type of urn as the grey cooking urn just described.,10,Base fragment explicitly found in the ditch/trench at Heerlen.,8,date read from the passage,9,Bodem-fragment van een zelfde urn.,,,,,,,
12736,Heerlen,3,Beaker,,"bekers met langen hals, van buiten zwart, metaalglanzig",Beaker,2,101,300,claude_text,present,9,Explicitly named as beakers (bekers) with metallic black exterior.,10,Fragments of two beakers explicitly found in the ditch/trench at Heerlen.,8,date read from the passage,9,"Fragmenten van twee verschillende bekers met langen hals, van buiten zwart, metaalglanzig, op de breuk zacht rood, 2e-3e eeuw.",ABR,,,BEKER,beker,,
12736,Heerlen,3,Urn,,blauwzwart overtrokken urn,Urn,,,,claude,present,9,Explicitly named as an urn with blue-black coating.,10,Fragment explicitly found in the ditch/trench at Heerlen.,0,no date stated,6,"Fragment van blauwzwart overtrokken urn, omgeslagen rand met 3 ribben.",,,,,,,
12736,Heerlen,3,Urn,,urnen,Urn,,301,400,claude_text,present,9,Explicitly named as urns (urnen).,10,Rim profiles explicitly found in the ditch/trench at Heerlen.,8,date read from the passage,9,"Randprofielen van urnen, 4e eeuw.",,,,,,,
12736,Heerlen,3,Mortarium,,witgele wrijfschotel met omgebogen rand,Mortarium,,,,claude,present,9,Explicitly named as a mortarium (wrijfschotel) with bent rim.,10,Fragment explicitly found in the ditch/trench at Heerlen.,0,no date stated,6,Fragment van witgele wrijfschotel met omgebogen rand.,ABR,WRIJFSCHAAL,wrijfschaal aardewerk,TSWRIJF,wrijfschaal,WRIJFSCH,"wrijfschaal, dikwandig aardew."
12736,Heerlen,3,Plate,,borden,Plate,,-12,450,claude_text,present,0,"general mention that pottery occurs at the site, not a discrete object",10,Fragments explicitly found in the ditch and trench at Heerlen.,8,date read from the passage,6,"fragmenten gevonden van borden, kommen, wrijf-schalen, urnen, deksels, voorraadskuipen",ABR,,,BORD,bord,,
12736,Heerlen,3,Bowl,,kommen,Bowl,,-12,450,claude_text,present,0,"general mention that pottery occurs at the site, not a discrete object",10,Fragments explicitly found in the ditch and trench at Heerlen.,8,date read from the passage,6,"fragmenten gevonden van borden, kommen, wrijf-schalen, urnen, deksels, voorraadskuipen",ABR,,,KOM.KOM,kom,,
