report_id,site_name,page,pottery,typology,term_found,term_found_normalized_en,quantity,start_date,end_date,date_method,context_label,pot_name_certainty_level,pot_name_llm_reasoning,pot_presence_certainty_level,pot_presence_llm_reasoning,dates_certainty_level,date_llm_reasoning,overall_certainty_level,original_text
12706,322000,17,Pottery,,Romeins aardewerk,Pottery,,-12,450,claude_text,present,0,"general mention that pottery occurs at the site, not a discrete object",9,Explicitly found during building works in 1916 at the site.,8,date read from the passage,6,"Naast Romeins aardewerk werd ook een voet van een standbeeldje gevonden met het inschrift ""Servandus Fesit (fecit)"""
12706,Heerlen,17,Pottery,,veel aardewerk,Pottery,,-12,450,claude_text,present,0,"general mention that pottery occurs at the site, not a discrete object",9,Explicitly found during 1960 excavation in the chicken coop at Coriovallumstraat.,8,date read from the passage,6,"Het overige vondstmateriaal van deze kleine 'opgraving' bestond naast bouwmateriaal uit meerdere Romeinse munten en fibulae, een naald, glasfragmenten, dierlijk bot en veel aardewerk."
12706,322000,17,Glazed ware,,geglazuurd aardewerk,Glazed ware,,-12,450,period_term,present,9,Name stated explicitly in the text.,9,Explicitly found during 1960 excavation at the site.,8,period word in the find's own quote,9,"Behalve de Romeinse vondsten werden echter ook middeleeuwse resten aangetroffen, zoals een Merovingische fibula, Zuid-Limburgs aardewerk en jonger, geglazuurd aardewerk."
12706,Heerlen,45,Painted beaker,,geverfde beker,Painted beaker,1,180,192,claude_text,present,9,Name stated explicitly in the text as 'geverfde beker'.,9,Explicitly found in the cellar floor sand at the site.,8,date read from the passage,9,"In het gele zand pakket is, in de hoek bij de trap, een (incomplete) geverfde beker met een munt van Commodus gevonden, die mogelijk als een bouwoffer geïnterpreteerd kan worden."
12706,Heerlen,37,Pottery,,aardewerk,Pottery,,1,200,period_term,present,0,"general mention that pottery occurs at the site, not a discrete object",9,Explicitly found in post holes 380 and 383.,8,period word in the find's own quote,6,"Beide paalsporen hebben slechts weinig aardewerkvondsten opgeleverd, die geen nauwkeurigere datering opleveren dan een gevorderde 1e of 2e eeuw na Chr."
12706,Heerlen,37,Pottery,,aardewerk,Pottery,,70,270,claude_text,present,0,"general mention that pottery occurs at the site, not a discrete object",9,"Explicitly found in features 389, 390, 392, 416 and 417.",8,date read from the passage,6,Dit aardewerk is niet nader dateerbaar dan in de gevorderde 1e of 2e eeuw of nog algemener de Midden Romeinse tijd.
12706,Heerlen,40,Pottery,,aardewerk,Pottery,,70,270,claude_text,present,0,"general mention that pottery occurs at the site, not a discrete object",9,Explicitly found in feature 324.,8,date read from the passage,6,Het aardewerk uit dit spoor kan niet nader binnen de Midden Romeinse tijd gedateerd worden.
12706,321820,40,Pottery,,aardewerk,Pottery,,70,270,claude_text,present,0,"general mention that pottery occurs at the site, not a discrete object",9,Explicitly found in features 98 and 168.,8,date read from the passage,6,Keramiekvondsten uit de sporen 98 en 168 kunnen niet nader binnen de Midden Romeinse tijd gedateerd worden.
12706,321820,40,Pottery,,aardewerk,Pottery,,101,200,claude_text,present,0,"general mention that pottery occurs at the site, not a discrete object",9,Explicitly found in feature 170/171.,8,date read from the passage,6,Het aardewerk uit spoor 170/171 dateert uit de tweede helft van de 2e eeuw
12706,321820,40,Pottery,,aardewerk,Pottery,,151,250,claude_text,present,0,"general mention that pottery occurs at the site, not a discrete object",9,Explicitly found in feature 172.,8,date read from the passage,6,het aardewerk uit spoor 172 uit eind 2e of 1e helft 3e eeuw.
12706,Heerlen,42,Pottery,,aardewerk,Pottery,,51,200,claude_text,present,0,"general mention that pottery occurs at the site, not a discrete object",9,Explicitly found in feature 328 vulling 3.,8,date read from the passage,6,Het aardewerk uit vulling 3 van spoor 328 dateert uit de tweede helft van de 1e of de 2e eeuw.
12706,Heerlen,50,Pottery,,aardewerk,Pottery,,1,150,claude_text,present,0,"general mention that pottery occurs at the site, not a discrete object",9,Explicitly found in feature 322.,8,date read from the passage,6,Het aardewerk uit spoor 322 dateert uit de late 1e eeuw of eerste helft van de 2e eeuw.
12706,196260,51,Pottery,,aardewerk,Pottery,,101,200,claude_text,present,0,"general mention that pottery occurs at the site, not a discrete object",9,Explicitly found in feature 130.,8,date read from the passage,6,Het weinige aardewerk uit dit spoor dateert uit de 2e eeuw
12706,Heerlen,51,Pottery,,scherven uit de Midden Romeinse tijd,Pottery,,70,270,claude_text,present,0,"general mention that pottery occurs at the site, not a discrete object",9,Explicitly found in feature 147.,8,date read from the passage,6,In dit kuiltje zijn enkele scherven uit de Midden Romeinse tijd aangetroffen
12706,Heerlen,61,Pottery,,aardewerk,Pottery,888,,,claude,present,0,"general mention that pottery occurs at the site, not a discrete object",9,Explicitly listed in the finds summary table as 888 sherds recovered.,0,no date stated,3,aardewerk 888 33.144
12706,196260,69,Terra sigillata decorated bowl,Dragendorff 29,kom Dragendorff 29,Terra sigillata decorated bowl,1,15,100,claude+typology,present,10,Explicitly identified as Dragendorff 29.,10,"Found in spoor 200, catalogued as V84.1.",10,dated from typology code (only as certain as the identification),10,"Rand- en wandfragment van een kom Dragendorff 29, V84.1 uit spoor 200. De in de bovenzone drieledige, hangende bogen met schoppenblad ... komen overeen met de stijl van Medillus uit La Graufesenque. Circa 60-80 na Chr."
12706,196260,69,Terra sigillata decorated bowl,Dragendorff 37,kom Dragendorff 37,Terra sigillata decorated bowl,1,70,300,claude+typology,present,10,Explicitly identified as Dragendorff 37.,10,"Found in spoor 87, catalogued as V21.1.",10,dated from typology code (only as certain as the identification),10,"Wandfragment van een kom Dragendorff 37, V21.1 uit spoor 87. Binnen een medaillon is een naar links stappend figuurtje zichtbaar, mogelijk La Madeleine? Circa 100-150 na Chr."
12706,196260,69,Terra sigillata decorated bowl,Dragendorff 37,kom Dragendorff 37,Terra sigillata decorated bowl,1,70,300,claude+typology,present,10,Explicitly identified as Dragendorff 37.,10,"Found in keldervulling spoor 305, catalogued as V305.16.",10,dated from typology code (only as certain as the identification),10,"Rand- en wandfragmenten van een kom Dragendorff 37, V305.16 uit de keldervulling (spoor 305). Door secundaire verbranding is de versiering slecht zichtbaar ... mogelijk Argonne of Trier. Circa 150-250 na Chr."
12706,196260,69,Terra sigillata decorated bowl,Dragendorff 37,kom Dragendorff 37,Terra sigillata decorated bowl,1,70,300,claude+typology,present,10,Explicitly identified as Dragendorff 37.,10,"Found in laag spoor 241, catalogued as V309.1.",10,dated from typology code (only as certain as the identification),10,"Randfragment van een kom Dragendorff 37, V309.1 uit de laag spoor 241. Tamelijk beschadigde eierlijst, maar op grond van het baksel mogelijk uit de Argonne. Circa 125-200 na Chr."
12706,196260,69,Terra sigillata cup,Dragendorff 27,bakje Dragendorff 27,Terra sigillata cup,1,15,200,claude+typology,present,10,Explicitly identified as Dragendorff 27.,10,"Found in laag spoor 241, catalogued as V309.2.",10,dated from typology code (only as certain as the identification),10,"Bodemfragment van een bakje Dragendorff 27, V309.2 uit de laag spoor 241. Het stempel is onleesbaar en betreft een schriftimitatie, La Graufesenque. Circa 60-100 na Chr."
12706,196260,70,Terra nigra,Holwerda BW 27,potten Holwerda BW 27,Terra nigra,,-12,150,claude_text,present,10,Explicitly identified as terra nigra Holwerda BW 27.,10,"Multiple catalogue numbers given (V216.10, V109.3, V242.4).",8,date read from the passage,9,"Gelet op de vertegenwoordigde vormen, hoofdzakelijk de potten Holwerda BW 27 (V216.10 en V109.3, figuur 7.2.10: 1-2 en V242.4, figuur 7.2.11: 1) en Holwerda BW 31 (V309.5, figuur 7.2.4: 2), dateert de terra nigra vooral uit de tweede helft van de 1e eeuw en de eerste helft van de 2e eeuw."
12706,196260,70,Terra nigra,Holwerda BW 31,Holwerda BW 31,Terra nigra,1,-12,150,claude_text,present,10,Explicitly identified as terra nigra Holwerda BW 31.,10,Found and catalogued as V309.5.,8,date read from the passage,9,"Holwerda BW 31 (V309.5, figuur 7.2.4: 2), dateert de terra nigra vooral uit de tweede helft van de 1e eeuw en de eerste helft van de 2e eeuw."
12706,196260,70,Terra rubra,,terra rubra,Terra rubra,3,1,75,claude_text,present,10,Explicitly named as terra rubra.,10,Three fragments explicitly found during the investigation.,8,date read from the passage,9,"Slechts drie fragmenten terra rubra zijn tijdens het onderzoek aangetroffen. Dit fijne, oxiderend gebakken tafelaardewerk wordt traditioneel eveneens tot de Belgische waar gerekend. In onderhavig complex zijn twee wandfragmenten zonder en één wandfragment met deklaag aangetroffen."
12706,196260,70,Bronzed ware,,gebronsd aardewerk,Bronzed ware,2,-12,450,claude_text,present,9,Described as gebronsd aardewerk with gold-shimmer coating.,10,Two fragments explicitly found.,8,date read from the passage,9,Op twee fragmenten zijn nog spaarzame resten van een deklaag met goudglimmer waarneembaar.
12706,196260,72,Coated ware beaker,Stuart 1,beker Stuart 1,Coated ware beaker,1,40,110,claude+typology,present,10,Explicitly identified as beker Stuart 1.,10,Catalogued as V100.2.,10,dated from typology code (only as certain as the identification),10,"Opvallende fragmenten zijn bijvoorbeeld de beker Stuart 1 met een oranje deklaag op licht oranje/gele pasta (V100.2, figuur 7.2.5: 2 en figuur 7.2.6: 4)"
12706,Heerlen,72,Painted ware beaker,,bekertje,Painted ware beaker,1,-12,450,claude_text,present,9,"Described as a small beaker with painted coating, catalogued find.",10,Catalogued as V100.4.,8,date read from the passage,9,"de bodem van een bekertje met een roodoranje deklaag op een vuilwitte pasta (V100.4, figuur 7.2.5: 3 en figuur 7.2.6: 4)"
12706,196260,72,Coated ware beaker,Stuart 1,bekers Stuart 1 met barbotineversiering,Coated ware beaker,,40,110,claude+typology,present,10,Explicitly identified as Stuart 1 beakers with barbotine decoration.,10,"Multiple catalogue numbers given (V308.1, V167.1, V309.1).",10,dated from typology code (only as certain as the identification),10,"bekers Stuart 1 met barbotineversiering in de vorm van schubben. Hiervan zijn zowel voorbeelden in techniek a (V308.1, figuur 7.2.5: 4 en figuur 7.2.6: 2) als in techniek b (V167.1, figuur 7.2.5: 5 en figuur 7.2.6: 3 of V309.1, figuur 7.2.6: 4) in onderhavig complex aanwezig."
12706,196260,72,Color-coated beaker,Oelmann 32,bekers van het type Oelmann 32,Color-coated beaker,,150,300,claude+typology,present,10,Explicitly identified as Oelmann 32.,10,"Found in the complex, catalogued examples given.",10,dated from typology code (only as certain as the identification),10,"Als voorbeelden voor een latere productie komen enkele bekers van het type Oelmann 32 en 33, al dan niet met deuken, in aanmerking."
12706,196260,72,Metallic gloss ware beaker,,bekers in metaalglansaardewerk,Metallic gloss ware beaker,,-12,450,claude_text,present,9,"Described as metaalglansaardewerk beakers, probably from Trier.",10,Explicitly found during the investigation.,8,date read from the passage,9,"Van bekers in metaalglansaardewerk zijn slechts enkele fragmenten aangetroffen, waarbij het waarschijnlijk gaat om producten uit Trier."
12706,196260,73,Smooth-walled jug,,kruik met twee oren,Smooth-walled jug,1,-12,450,claude_text,present,9,Described as a two-handled jug in white clay.,10,Catalogued as V203.1.,8,date read from the passage,9,"Dit geldt bijvoorbeeld voor een kruik met twee oren in witte aarde en een scherpe, driehoekige doorsnede van de randlip (V203.1, figuur 7.2.7: 1)."
12706,Heerlen,73,Smooth-walled pot,Holwerda BW 3,bolle pot Holwerda BW 3,Smooth-walled pot,1,-12,450,claude_text,present,10,Explicitly identified as Holwerda BW 3.,10,Catalogued as V7.9.,8,date read from the passage,9,De wandfragmenten in witte aarde van een bolle pot Holwerda BW 3 met gearceerde banden op de buik komen daarnast ook in aanmerking om aan Heerlen toegeschreven te worden (V7.9).
12706,Heerlen,73,Coated ware beaker,Stuart 1,beker als van het type Stuart 1,Coated ware beaker,1,40,110,claude+typology,present,9,Identified as Stuart 1 type in smooth-walled fabric.,10,Catalogued as V216.1.,9,dated from typology code (only as certain as the identification),9,"Een beker als van het type Stuart 1 valt op vanwege de gladwandige uitvoering in een licht roodoranje baksel (V216.1, figuur 7.2.7: 3 en figuur 7.2.10:7)."
12706,Heerlen,73,Smooth-walled beaker or pot,,klein bekertje of potje,Smooth-walled beaker or pot,1,-12,450,claude_text,present,3,"Typologically uncertain, described as possibly a small honey pot or medieval Andenne ware.",10,Catalogued as V82.1.,8,date read from the passage,7,"De randvorm van een klein bekertje of potje in een vuilwit tot lichtroze baksel is typologisch moeilijk te plaatsen (V82.1, figuur 7.2.7: 2)."
